,Transaction ID,Customer ID,Category,Price Per Unit,Quantity,Total Spent,Payment Method,Location,Transaction Date,Discount Applied,Item,Item_name,Year,Month
15,TXN_1809665,CUST_14,Beverages,24.5,8.0,196.0,Credit Card,In-store,2022-05-11,1,Item_14_BEV,Coconut Water,2022,May
16,TXN_7563311,CUST_23,Patisserie,29.0,8.0,232.0,Cash,Online,2024-11-16,1,Item_17_PAT,Choux Pastry,2024,November
17,TXN_9634894,CUST_15,Milk Products,27.5,10.0,275.0,Digital Wallet,Online,2022-04-17,1,Item_16_MILK,Lactose-Free Milk,2022,April
18,TXN_4396807,CUST_17,Electric household essentials,23.0,1.0,23.0,Digital Wallet,In-store,2022-02-07,0,Item_13_EHE,Humidifier,2022,February
19,TXN_4206593,CUST_01,Furniture,35.0,5.0,175.0,Digital Wallet,Online,2025-01-13,0,Item_21_FUR,Wooden Bench,2025,January
20,TXN_9939063,CUST_14,Beverages,14.0,9.0,126.0,Digital Wallet,In-store,2024-01-14,1,Item_7_BEV,Energy Drink,2024,January
21,TXN_8685338,CUST_15,Milk Products,35.0,3.0,105.0,Credit Card,In-store,2023-10-29,1,Item_21_MILK,Organic Milk,2023,October
22,TXN_6547964,CUST_10,Electric household essentials,9.5,7.0,66.5,Cash,In-store,2022-08-15,1,Item_4_EHE,Vacuum Cleaner,2022,August
23,TXN_3314099,CUST_04,Food,18.5,1.0,18.5,Cash,Online,2023-09-30,0,Item_10_FOOD,Cereal,2023,September
24,TXN_9980736,CUST_13,Furniture,24.5,2.0,49.0,Cash,Online,2023-08-29,0,Item_14_FUR,Ottoman,2023,August
25,TXN_3481599,CUST_05,Furniture,39.5,7.0,276.5,Cash,Online,2022-09-08,0,Item_24_FUR,Bar Stool,2022,September
26,TXN_9057609,CUST_18,Butchers,33.5,4.0,134.0,Credit Card,In-store,2022-03-16,1,Item_20_BUT,Ribeye Steak,2022,March
27,TXN_1599706,CUST_14,Furniture,41.0,10.0,410.0,Credit Card,In-store,2024-03-24,1,Item_25_FUR,Accent Chair,2024,March
28,TXN_1598860,CUST_08,Food,24.5,10.0,245.0,Cash,In-store,2022-10-23,1,Item_14_FOOD,Bread Loaf,2022,October
29,TXN_7138501,CUST_18,Patisserie,36.5,5.0,182.5,Credit Card,In-store,2022-03-10,0,Item_22_PAT,Cake Roll,2022,March
30,TXN_5444504,CUST_05,Food,20.0,10.0,200.0,Digital Wallet,Online,2022-04-26,0,Item_11_FOOD,Peanut Butter,2022,April
31,TXN_4353295,CUST_22,Patisserie,12.5,8.0,100.0,Credit Card,Online,2022-04-05,1,Item_6_PAT,Donut,2022,April
32,TXN_1543244,CUST_20,Food,24.5,8.0,196.0,Credit Card,Online,2024-10-25,1,Item_14_FOOD,Bread Loaf,2024,October
33,TXN_1494700,CUST_12,Electric household essentials,35.0,9.0,315.0,Credit Card,In-store,2024-03-07,1,Item_21_EHE,Hand Blender,2024,March
34,TXN_1621497,CUST_06,Patisserie,23.0,8.0,184.0,Cash,In-store,2023-02-18,1,Item_13_PAT,Cream Puff,2023,February
35,TXN_6398436,CUST_15,Beverages,41.0,7.0,287.0,Credit Card,In-store,2024-06-03,1,Item_25_BEV,Premium Cold Brew,2024,June
36,TXN_9065245,CUST_02,Food,38.0,2.0,76.0,Digital Wallet,In-store,2024-03-10,0,Item_23_FOOD,Soup Packet,2024,March
37,TXN_6963438,CUST_11,Furniture,18.5,5.0,92.5,Credit Card,Online,2024-04-23,1,Item_10_FUR,Side Table,2024,April
38,TXN_8312797,CUST_14,Beverages,20.0,5.0,100.0,Digital Wallet,Online,2022-06-03,1,Item_11_BEV,Ginger Ale,2022,June
39,TXN_5836005,CUST_19,Butchers,38.0,5.0,190.0,Credit Card,In-store,2024-10-19,0,Item_23_BUT,Lamb Shank,2024,October
40,TXN_4223250,CUST_16,Beverages,36.5,7.0,255.5,Cash,Online,2023-05-31,1,Item_22_BEV,Milkshake,2023,May
41,TXN_1019817,CUST_16,Electric household essentials,18.5,5.0,92.5,Cash,Online,2022-08-01,1,Item_10_EHE,Table Fan,2022,August
42,TXN_1110407,CUST_25,Butchers,39.5,7.0,276.5,Digital Wallet,In-store,2022-10-21,1,Item_24_BUT,Beef Tenderloin,2022,October
43,TXN_6276518,CUST_24,Beverages,15.5,3.0,46.5,Cash,In-store,2024-04-08,1,Item_8_BEV,Iced Tea,2024,April
44,TXN_4740738,CUST_25,Food,8.0,1.0,8.0,Digital Wallet,In-store,2022-04-19,1,Item_3_FOOD,Pasta,2022,April
45,TXN_9587232,CUST_20,Food,21.5,5.0,107.5,Digital Wallet,Online,2023-02-28,1,Item_12_FOOD,Jam,2023,February
46,TXN_6404316,CUST_04,Computers and electric accessories,27.5,6.0,165.0,Credit Card,Online,2022-04-06,0,Item_16_CEA,Power Supply Unit,2022,April
47,TXN_9331642,CUST_12,Patisserie,20.0,4.0,80.0,Credit Card,Online,2022-07-06,1,Item_11_PAT,Cheesecake Slice,2022,July
48,TXN_9729422,CUST_13,Butchers,27.5,6.0,165.0,Credit Card,Online,2024-12-31,1,Item_16_BUT,Ham Slices,2024,December
49,TXN_8425168,CUST_25,Milk Products,27.5,7.0,192.5,Cash,In-store,2022-03-12,1,Item_16_MILK,Lactose-Free Milk,2022,March
50,TXN_5379241,CUST_05,Butchers,33.5,10.0,335.0,Credit Card,In-store,2023-04-12,0,Item_20_BUT,Ribeye Steak,2023,April
51,TXN_8413369,CUST_23,Computers and electric accessories,11.0,6.0,66.0,Credit Card,Online,2024-03-09,1,Item_5_CEA,Monitor,2024,March
52,TXN_4836321,CUST_21,Food,21.5,10.0,215.0,Digital Wallet,In-store,2023-01-14,0,Item_12_FOOD,Jam,2023,January
53,TXN_9451794,CUST_24,Milk Products,32.0,3.0,96.0,Credit Card,Online,2024-01-28,1,Item_19_MILK,Ice Cream Cup,2024,January
54,TXN_8218431,CUST_01,Furniture,38.0,5.0,190.0,Digital Wallet,Online,2023-04-29,0,Item_23_FUR,Magazine Rack,2023,April
55,TXN_2383377,CUST_15,Furniture,14.0,3.0,42.0,Digital Wallet,In-store,2023-04-02,1,Item_7_FUR,Wardrobe,2023,April
56,TXN_7909783,CUST_12,Computers and electric accessories,11.0,1.0,11.0,Credit Card,Online,2023-12-17,1,Item_5_CEA,Monitor,2023,December
57,TXN_5046007,CUST_07,Computers and electric accessories,26.0,9.0,234.0,Cash,Online,2024-07-22,1,Item_15_CEA,RAM Module,2024,July
58,TXN_6966182,CUST_02,Furniture,27.5,9.0,247.5,Cash,Online,2024-09-06,1,Item_16_FUR,Shoe Rack,2024,September
59,TXN_3424571,CUST_09,Milk Products,12.5,7.0,87.5,Credit Card,Online,2023-01-13,0,Item_6_MILK,Greek Yogurt,2023,January
60,TXN_6820452,CUST_10,Computers and electric accessories,39.5,8.0,316.0,Credit Card,In-store,2023-04-18,0,Item_24_CEA,Portable Projector,2023,April
61,TXN_1998771,CUST_25,Milk Products,27.5,3.0,82.5,Digital Wallet,Online,2024-11-07,1,Item_16_MILK,Lactose-Free Milk,2024,November
62,TXN_1132097,CUST_24,Patisserie,20.0,9.0,180.0,Credit Card,In-store,2023-05-18,1,Item_11_PAT,Cheesecake Slice,2023,May
63,TXN_5418871,CUST_04,Computers and electric accessories,36.5,7.0,255.5,Cash,In-store,2022-03-16,0,Item_22_CEA,Bluetooth Speaker,2022,March
64,TXN_6952276,CUST_01,Food,36.5,10.0,365.0,Credit Card,Online,2024-08-02,1,Item_22_FOOD,Frozen Fries,2024,August
65,TXN_6340470,CUST_17,Butchers,6.5,6.0,39.0,Credit Card,In-store,2022-10-12,1,Item_2_BUT,Chicken Thigh,2022,October
66,TXN_5885894,CUST_01,Patisserie,24.5,10.0,245.0,Credit Card,In-store,2022-02-09,0,Item_14_PAT,Lemon Tart,2022,February
67,TXN_3671271,CUST_18,Patisserie,21.5,8.0,172.0,Cash,In-store,2023-11-27,0,Item_12_PAT,Fruit Tart,2023,November
68,TXN_2719047,CUST_03,Butchers,33.5,4.0,134.0,Credit Card,Online,2023-11-21,1,Item_20_BUT,Ribeye Steak,2023,November
69,TXN_9908330,CUST_19,Food,30.5,4.0,122.0,Credit Card,Online,2022-09-29,1,Item_18_FOOD,Pickles,2022,September
70,TXN_2016332,CUST_17,Patisserie,5.0,6.0,30.0,Digital Wallet,Online,2022-12-17,1,Item_1_PAT,Croissant,2022,December
71,TXN_7363165,CUST_25,Beverages,9.5,7.0,66.5,Digital Wallet,In-store,2023-03-25,1,Item_4_BEV,Orange Juice,2023,March
72,TXN_1260450,CUST_25,Furniture,36.5,10.0,365.0,Digital Wallet,In-store,2023-12-24,1,Item_22_FUR,Corner Shelf,2023,December
73,TXN_6315447,CUST_21,Patisserie,14.0,9.0,126.0,Digital Wallet,In-store,2025-01-12,0,Item_7_PAT,Eclair,2025,January
74,TXN_5973228,CUST_12,Beverages,14.0,6.0,84.0,Digital Wallet,Online,2023-12-25,1,Item_7_BEV,Energy Drink,2023,December
75,TXN_2780662,CUST_02,Milk Products,32.0,10.0,320.0,Digital Wallet,In-store,2023-01-19,1,Item_19_MILK,Ice Cream Cup,2023,January
76,TXN_1142481,CUST_02,Beverages,36.5,6.0,219.0,Cash,In-store,2023-02-07,1,Item_22_BEV,Milkshake,2023,February
77,TXN_3933685,CUST_09,Computers and electric accessories,33.5,10.0,335.0,Credit Card,Online,2022-04-15,1,Item_20_CEA,WiFi Range Extender,2022,April
78,TXN_8955685,CUST_24,Food,33.5,2.0,67.0,Digital Wallet,Online,2023-04-24,1,Item_20_FOOD,Canned Corn,2023,April
79,TXN_1061030,CUST_20,Computers and electric accessories,36.5,4.0,146.0,Digital Wallet,Online,2024-07-14,1,Item_22_CEA,Bluetooth Speaker,2024,July
80,TXN_7821493,CUST_07,Patisserie,29.0,10.0,290.0,Credit Card,In-store,2024-12-17,1,Item_17_PAT,Choux Pastry,2024,December
81,TXN_8114453,CUST_10,Electric household essentials,35.0,2.0,70.0,Digital Wallet,In-store,2023-05-09,0,Item_21_EHE,Hand Blender,2023,May
82,TXN_8024803,CUST_09,Furniture,20.0,8.0,160.0,Digital Wallet,In-store,2024-08-22,0,Item_11_FUR,TV Stand,2024,August
83,TXN_4532214,CUST_25,Patisserie,15.5,4.0,62.0,Credit Card,In-store,2024-03-25,0,Item_8_PAT,Brownie,2024,March
84,TXN_5062634,CUST_04,Patisserie,41.0,2.0,82.0,Credit Card,Online,2023-07-06,1,Item_25_PAT,French Pastry Box,2023,July
85,TXN_8244728,CUST_08,Food,14.0,1.0,14.0,Credit Card,In-store,2024-04-27,1,Item_7_FOOD,Cooking Oil,2024,April
86,TXN_3858145,CUST_17,Furniture,35.0,3.0,105.0,Digital Wallet,Online,2023-04-01,1,Item_21_FUR,Wooden Bench,2023,April
87,TXN_2646301,CUST_18,Furniture,39.5,9.0,355.5,Credit Card,In-store,2022-12-07,0,Item_24_FUR,Bar Stool,2022,December
88,TXN_2414530,CUST_24,Milk Products,15.5,8.0,124.0,Cash,Online,2024-06-20,1,Item_8_MILK,Cottage Cheese,2024,June
89,TXN_8322008,CUST_22,Food,9.5,3.0,28.5,Cash,In-store,2024-08-20,0,Item_4_FOOD,Noodles,2024,August
90,TXN_3035546,CUST_19,Beverages,24.5,2.0,49.0,Credit Card,In-store,2023-07-12,1,Item_14_BEV,Coconut Water,2023,July
91,TXN_7296720,CUST_18,Patisserie,9.5,5.0,47.5,Cash,Online,2024-09-12,1,Item_4_PAT,Cupcake,2024,September
92,TXN_8414071,CUST_20,Patisserie,21.5,9.0,193.5,Cash,In-store,2023-05-02,1,Item_12_PAT,Fruit Tart,2023,May
93,TXN_5705131,CUST_19,Milk Products,9.5,4.0,38.0,Digital Wallet,Online,2024-03-27,1,Item_4_MILK,Butter,2024,March
94,TXN_5938028,CUST_18,Computers and electric accessories,14.0,1.0,14.0,Digital Wallet,Online,2023-02-20,1,Item_7_CEA,Scanner,2023,February
95,TXN_1958345,CUST_08,Electric household essentials,9.5,8.0,76.0,Cash,In-store,2024-06-28,1,Item_4_EHE,Vacuum Cleaner,2024,June
96,TXN_1528585,CUST_15,Electric household essentials,12.5,1.0,12.5,Credit Card,In-store,2024-09-17,1,Item_6_EHE,Electric Kettle,2024,September
97,TXN_9619859,CUST_01,Butchers,35.0,4.0,140.0,Cash,In-store,2024-04-05,0,Item_21_BUT,Marinated Chicken,2024,April
98,TXN_6158929,CUST_21,Food,20.0,6.0,120.0,Cash,Online,2022-01-29,1,Item_11_FOOD,Peanut Butter,2022,January
99,TXN_7209607,CUST_25,Food,30.5,6.0,183.0,Credit Card,In-store,2023-08-25,1,Item_18_FOOD,Pickles,2023,August
100,TXN_5328604,CUST_07,Food,33.5,10.0,335.0,Cash,Online,2024-07-08,0,Item_20_FOOD,Canned Corn,2024,July
101,TXN_4324641,CUST_01,Patisserie,27.5,6.0,165.0,Cash,In-store,2023-11-07,0,Item_16_PAT,Chocolate Tart,2023,November
102,TXN_9464391,CUST_04,Food,30.5,10.0,305.0,Cash,Online,2023-11-17,1,Item_18_FOOD,Pickles,2023,November
103,TXN_2940500,CUST_06,Computers and electric accessories,41.0,1.0,41.0,Cash,In-store,2024-11-05,0,Item_25_CEA,Tablet,2024,November
104,TXN_1945960,CUST_09,Butchers,15.5,10.0,155.0,Digital Wallet,In-store,2023-04-06,0,Item_8_BUT,Turkey Breast,2023,April
105,TXN_8219228,CUST_17,Computers and electric accessories,18.5,5.0,92.5,Cash,Online,2022-05-27,0,Item_10_CEA,USB Flash Drive,2022,May
106,TXN_5471094,CUST_14,Butchers,6.5,3.0,19.5,Digital Wallet,In-store,2022-08-24,0,Item_2_BUT,Chicken Thigh,2022,August
107,TXN_9255329,CUST_01,Furniture,41.0,7.0,287.0,Digital Wallet,In-store,2022-03-02,0,Item_25_FUR,Accent Chair,2022,March
108,TXN_9279462,CUST_25,Furniture,11.0,3.0,33.0,Credit Card,In-store,2022-02-05,0,Item_5_FUR,Bookshelf,2022,February
109,TXN_7956502,CUST_06,Butchers,15.5,7.0,108.5,Credit Card,In-store,2024-04-30,1,Item_8_BUT,Turkey Breast,2024,April
110,TXN_1352831,CUST_04,Food,36.5,3.0,109.5,Credit Card,Online,2023-10-31,1,Item_22_FOOD,Frozen Fries,2023,October
111,TXN_4372655,CUST_08,Food,17.0,7.0,119.0,Cash,In-store,2024-11-03,0,Item_9_FOOD,Oats,2024,November
112,TXN_5419965,CUST_23,Computers and electric accessories,20.0,6.0,120.0,Digital Wallet,Online,2024-01-16,0,Item_11_CEA,External Hard Drive,2024,January
113,TXN_7655704,CUST_11,Computers and electric accessories,35.0,8.0,280.0,Digital Wallet,Online,2022-08-08,1,Item_21_CEA,Smartwatch,2022,August
114,TXN_8210621,CUST_03,Beverages,39.5,1.0,39.5,Digital Wallet,Online,2024-01-03,0,Item_24_BEV,Iced Latte,2024,January
115,TXN_6908058,CUST_25,Computers and electric accessories,15.5,10.0,155.0,Cash,In-store,2023-07-22,0,Item_8_CEA,Webcam,2023,July
116,TXN_9204828,CUST_07,Computers and electric accessories,41.0,7.0,287.0,Cash,Online,2022-03-05,1,Item_25_CEA,Tablet,2022,March
117,TXN_3208232,CUST_25,Electric household essentials,15.5,4.0,62.0,Digital Wallet,In-store,2024-01-13,0,Item_8_EHE,Iron,2024,January
118,TXN_8586300,CUST_11,Computers and electric accessories,27.5,10.0,275.0,Credit Card,Online,2022-02-08,0,Item_16_CEA,Power Supply Unit,2022,February
119,TXN_2212643,CUST_09,Food,8.0,4.0,32.0,Credit Card,In-store,2022-12-29,0,Item_3_FOOD,Pasta,2022,December
120,TXN_8215469,CUST_17,Milk Products,38.0,10.0,380.0,Digital Wallet,In-store,2024-03-16,1,Item_23_MILK,Ricotta,2024,March
121,TXN_3403695,CUST_25,Beverages,38.0,8.0,304.0,Cash,Online,2024-09-27,1,Item_23_BEV,Smoothie,2024,September
122,TXN_2878134,CUST_18,Butchers,15.5,9.0,139.5,Credit Card,In-store,2024-05-10,1,Item_8_BUT,Turkey Breast,2024,May
123,TXN_3123571,CUST_15,Furniture,38.0,3.0,114.0,Digital Wallet,Online,2022-08-07,1,Item_23_FUR,Magazine Rack,2022,August
124,TXN_9940030,CUST_25,Beverages,32.0,6.0,192.0,Credit Card,In-store,2022-01-19,1,Item_19_BEV,Pineapple Juice,2022,January
125,TXN_6195024,CUST_13,Beverages,33.5,5.0,167.5,Cash,Online,2024-08-09,0,Item_20_BEV,Fruit Punch,2024,August
126,TXN_5243520,CUST_13,Patisserie,18.5,5.0,92.5,Cash,In-store,2024-05-16,0,Item_10_PAT,Cinnamon Roll,2024,May
127,TXN_4608122,CUST_21,Butchers,27.5,10.0,275.0,Digital Wallet,Online,2022-10-01,0,Item_16_BUT,Ham Slices,2022,October
128,TXN_6923419,CUST_17,Furniture,11.0,8.0,88.0,Digital Wallet,Online,2022-06-28,0,Item_5_FUR,Bookshelf,2022,June
129,TXN_1112365,CUST_19,Food,39.5,10.0,395.0,Cash,Online,2023-09-24,1,Item_24_FOOD,Instant Meals,2023,September
130,TXN_6989569,CUST_11,Milk Products,35.0,2.0,70.0,Credit Card,In-store,2022-01-17,0,Item_21_MILK,Organic Milk,2022,January
131,TXN_5647023,CUST_12,Furniture,39.5,4.0,158.0,Digital Wallet,In-store,2022-04-14,1,Item_24_FUR,Bar Stool,2022,April
132,TXN_8049831,CUST_18,Beverages,12.5,2.0,25.0,Cash,In-store,2023-01-05,0,Item_6_BEV,Lemonade,2023,January
133,TXN_2953434,CUST_25,Furniture,41.0,10.0,410.0,Credit Card,In-store,2023-08-10,1,Item_25_FUR,Accent Chair,2023,August
134,TXN_3831408,CUST_18,Milk Products,5.0,10.0,50.0,Digital Wallet,Online,2022-02-11,1,Item_1_MILK,Full Cream Milk,2022,February
135,TXN_1249742,CUST_05,Milk Products,39.5,10.0,395.0,Digital Wallet,Online,2024-03-21,1,Item_24_MILK,Sweet Condensed Milk,2024,March
136,TXN_4633046,CUST_13,Computers and electric accessories,6.5,5.0,32.5,Digital Wallet,Online,2023-08-25,1,Item_2_CEA,Desktop PC,2023,August
137,TXN_3519817,CUST_22,Butchers,30.5,4.0,122.0,Digital Wallet,Online,2022-06-14,1,Item_18_BUT,Goat Meat,2022,June
138,TXN_1154680,CUST_25,Furniture,35.0,10.0,350.0,Credit Card,Online,2022-12-18,0,Item_21_FUR,Wooden Bench,2022,December
139,TXN_9177662,CUST_15,Furniture,24.5,7.0,171.5,Cash,In-store,2024-09-30,1,Item_14_FUR,Ottoman,2024,September
140,TXN_4801202,CUST_16,Furniture,5.0,3.0,15.0,Digital Wallet,Online,2024-05-31,0,Item_1_FUR,Office Chair,2024,May
141,TXN_6149882,CUST_09,Beverages,33.5,1.0,33.5,Credit Card,Online,2023-01-22,1,Item_20_BEV,Fruit Punch,2023,January
142,TXN_8809000,CUST_23,Milk Products,8.0,3.0,24.0,Cash,In-store,2023-01-10,1,Item_3_MILK,Cheese Block,2023,January
143,TXN_5008001,CUST_03,Electric household essentials,18.5,6.0,111.0,Credit Card,Online,2024-11-04,1,Item_10_EHE,Table Fan,2024,November
144,TXN_5111184,CUST_19,Milk Products,20.0,6.0,120.0,Credit Card,Online,2024-07-18,1,Item_11_MILK,Whipped Cream,2024,July
145,TXN_1499774,CUST_07,Butchers,8.0,5.0,40.0,Credit Card,In-store,2022-12-15,1,Item_3_BUT,Whole Chicken,2022,December
146,TXN_2565828,CUST_21,Food,39.5,10.0,395.0,Credit Card,Online,2022-02-18,0,Item_24_FOOD,Instant Meals,2022,February
147,TXN_6312937,CUST_14,Computers and electric accessories,23.0,2.0,46.0,Digital Wallet,In-store,2024-02-09,0,Item_13_CEA,Graphics Card,2024,February
148,TXN_8775503,CUST_08,Computers and electric accessories,12.5,2.0,25.0,Digital Wallet,In-store,2024-10-11,0,Item_6_CEA,Printer,2024,October
149,TXN_3541663,CUST_25,Furniture,6.5,5.0,32.5,Digital Wallet,In-store,2023-07-19,1,Item_2_FUR,Sofa,2023,July
150,TXN_4947386,CUST_13,Food,30.5,10.0,305.0,Cash,Online,2024-11-12,0,Item_18_FOOD,Pickles,2024,November
151,TXN_4276451,CUST_17,Beverages,36.5,1.0,36.5,Credit Card,Online,2024-05-27,0,Item_22_BEV,Milkshake,2024,May
152,TXN_3380295,CUST_08,Beverages,12.5,5.0,62.5,Cash,Online,2023-02-08,0,Item_6_BEV,Lemonade,2023,February
153,TXN_1390866,CUST_09,Patisserie,12.5,2.0,25.0,Digital Wallet,In-store,2024-03-30,1,Item_6_PAT,Donut,2024,March
154,TXN_8616546,CUST_09,Beverages,35.0,8.0,280.0,Credit Card,Online,2023-04-01,1,Item_21_BEV,Protein Shake,2023,April
155,TXN_1804192,CUST_20,Furniture,15.5,9.0,139.5,Cash,Online,2024-06-07,1,Item_8_FUR,Study Table,2024,June
156,TXN_5046818,CUST_02,Butchers,36.5,6.0,219.0,Digital Wallet,In-store,2024-07-03,0,Item_22_BUT,Minced Pork,2024,July
157,TXN_4626993,CUST_24,Butchers,23.0,7.0,161.0,Credit Card,Online,2023-08-23,0,Item_13_BUT,Beef Ribs,2023,August
158,TXN_5256349,CUST_25,Beverages,6.5,4.0,26.0,Digital Wallet,Online,2022-09-27,0,Item_2_BEV,Sparkling Water,2022,September
159,TXN_3822751,CUST_21,Butchers,14.0,9.0,126.0,Digital Wallet,In-store,2024-03-04,0,Item_7_BUT,Mutton Curry Cut,2024,March
160,TXN_1882210,CUST_13,Food,24.5,4.0,98.0,Digital Wallet,In-store,2022-03-02,1,Item_14_FOOD,Bread Loaf,2022,March
161,TXN_9209383,CUST_12,Electric household essentials,14.0,9.0,126.0,Credit Card,In-store,2024-09-16,0,Item_7_EHE,Rice Cooker,2024,September
162,TXN_2196324,CUST_11,Butchers,35.0,9.0,315.0,Cash,In-store,2024-02-08,1,Item_21_BUT,Marinated Chicken,2024,February
163,TXN_7020797,CUST_22,Food,17.0,5.0,85.0,Digital Wallet,In-store,2024-04-20,0,Item_9_FOOD,Oats,2024,April
164,TXN_7594834,CUST_22,Furniture,41.0,1.0,41.0,Credit Card,In-store,2024-03-16,0,Item_25_FUR,Accent Chair,2024,March
165,TXN_3229559,CUST_02,Beverages,14.0,9.0,126.0,Digital Wallet,Online,2022-12-02,1,Item_7_BEV,Energy Drink,2022,December
166,TXN_1336269,CUST_19,Beverages,14.0,6.0,84.0,Digital Wallet,Online,2024-12-25,1,Item_7_BEV,Energy Drink,2024,December
167,TXN_2479337,CUST_10,Patisserie,41.0,7.0,287.0,Credit Card,In-store,2023-08-05,1,Item_25_PAT,French Pastry Box,2023,August
168,TXN_8784273,CUST_25,Computers and electric accessories,24.5,4.0,98.0,Cash,In-store,2022-05-02,1,Item_14_CEA,Motherboard,2022,May
169,TXN_7771182,CUST_10,Electric household essentials,32.0,6.0,192.0,Credit Card,In-store,2022-01-20,1,Item_19_EHE,Induction Cooktop,2022,January
170,TXN_1132339,CUST_01,Beverages,20.0,4.0,80.0,Credit Card,Online,2023-07-12,1,Item_11_BEV,Ginger Ale,2023,July
171,TXN_8283332,CUST_16,Beverages,38.0,6.0,228.0,Cash,Online,2023-11-13,0,Item_23_BEV,Smoothie,2023,November
172,TXN_9496190,CUST_18,Computers and electric accessories,30.5,3.0,91.5,Cash,Online,2024-02-24,1,Item_18_CEA,HDMI Cable,2024,February
173,TXN_5205620,CUST_17,Patisserie,20.0,7.0,140.0,Cash,In-store,2023-06-26,1,Item_11_PAT,Cheesecake Slice,2023,June
174,TXN_4448047,CUST_03,Milk Products,15.5,6.0,93.0,Credit Card,Online,2022-06-15,0,Item_8_MILK,Cottage Cheese,2022,June
175,TXN_2163190,CUST_20,Patisserie,27.5,2.0,55.0,Digital Wallet,Online,2022-05-30,1,Item_16_PAT,Chocolate Tart,2022,May
176,TXN_3338914,CUST_16,Food,33.5,10.0,335.0,Digital Wallet,Online,2024-05-29,0,Item_20_FOOD,Canned Corn,2024,May
177,TXN_8959624,CUST_09,Milk Products,5.0,7.0,35.0,Digital Wallet,Online,2024-12-18,0,Item_1_MILK,Full Cream Milk,2024,December
178,TXN_1821423,CUST_22,Furniture,41.0,2.0,82.0,Credit Card,Online,2022-01-13,1,Item_25_FUR,Accent Chair,2022,January
179,TXN_1175914,CUST_13,Butchers,23.0,6.0,138.0,Cash,In-store,2023-05-19,0,Item_13_BUT,Beef Ribs,2023,May
180,TXN_9760482,CUST_07,Computers and electric accessories,20.0,9.0,180.0,Digital Wallet,In-store,2023-01-06,1,Item_11_CEA,External Hard Drive,2023,January
181,TXN_8460432,CUST_15,Furniture,11.0,8.0,88.0,Digital Wallet,Online,2022-02-05,1,Item_5_FUR,Bookshelf,2022,February
182,TXN_9610555,CUST_15,Beverages,6.5,9.0,58.5,Cash,In-store,2022-11-15,0,Item_2_BEV,Sparkling Water,2022,November
183,TXN_8136588,CUST_07,Milk Products,27.5,7.0,192.5,Digital Wallet,In-store,2022-10-24,0,Item_16_MILK,Lactose-Free Milk,2022,October
184,TXN_6630594,CUST_07,Milk Products,8.0,5.0,40.0,Cash,In-store,2023-12-03,1,Item_3_MILK,Cheese Block,2023,December
185,TXN_4844684,CUST_20,Butchers,33.5,5.0,167.5,Digital Wallet,Online,2022-07-23,0,Item_20_BUT,Ribeye Steak,2022,July
186,TXN_9882772,CUST_09,Furniture,29.0,9.0,261.0,Cash,Online,2023-08-07,1,Item_17_FUR,Nightstand,2023,August
