"Product","Quality","Form","Country / Region","Producer Scope","Price level (INCOTERMS)","Quantity / Unit","Currency","Fairtrade minimum price","Fairtrade premium","Date of validity","Specific Product Standard","Product Specific Information"
"Apple","Conventional","","South America","SPO / HL","EXW","1 kg","USD","0.5","0.08","28/09/2009","Fresh Fruit",""
"Apple","Conventional","","South America","SPO / HL","FOB","1 kg","USD","0.55","0.08","28/09/2009","Fresh Fruit",""
"Apple","Organic","for drying","Eastern; Central and Western Asia","SPO","EXW","1 MT","USD","70","10","21/11/2011","Fresh Fruit",""
"Apple","Organic","for drying","South Africa","SPO / HL","EXW","1 MT","USD","70","10","21/11/2011","Fresh Fruit",""
"Apple","Organic","for drying","South America","SPO","EXW","1 kg","USD","0.07","0.01","10/02/2010","Fresh Fruit",""
"Apple","Organic","for processing","Eastern; Central and Western Asia and South Africa","SPO / HL","EXW","1 MT","USD","70","10","21/11/2011","Fresh Fruit",""
"Apple","Organic","for processing","South America","SPO / HL","EXW","1 kg","USD","0.07","0.01","10/02/2010","Fresh Fruit",""
"Apple","Organic","","South America","SPO / HL","EXW","1 kg","USD","0.58","0.08","10/02/2010","Fresh Fruit",""
"Apple","Organic","","South America","SPO / HL","FOB","1 kg","USD","0.63","0.08","10/02/2010","Fresh Fruit",""
"Apple","Conventional","Concentrate juice","South Africa","SPO / HL","FOB","1 MT","USD","960","96","28/04/2004","Prepared and Preserved Fruit & Vegetables",""
"Apricot","Conventional","for processing","Worldwide","SPO / HL","EXW"," ","","Commercial price","15% of the commercial price","15/10/2013","Fresh Fruit",""
"Apricot","Conventional","fresh","Worldwide","SPO / HL","EXW"," ","","Commercial price","15% of the commercial price","15/10/2013","Fresh Fruit",""
"Apricot","Organic","for processing","Worldwide","SPO / HL","EXW"," ","","Commercial price","15% of the commercial price","15/10/2013","Fresh Fruit",""
"Apricot","Organic","fresh","Worldwide","SPO / HL","EXW"," ","","Commercial price","15% of the commercial price","15/10/2013","Fresh Fruit",""
"Apricot","Conventional","seed","Pakistan","CP","EXW","1 kg","GBP","0.36","0.1","15/11/2007","Nuts","excluding transport to processing plant"
"Apricot","Organic","seed","Pakistan","CP","EXW","1 kg","GBP","0.38","0.1","15/11/2007","Nuts","excluding transport to processing plant"
"Apricot","Conventional","dried","Pakistan","CP","EXW","1 kg","GBP","0.19","0.05","15/11/2007","Prepared and Preserved Fruit & Vegetables","wild; excluding transport to processing plant"
"Apricot","Conventional","dried","Pakistan","CP","EXW","1 kg","GBP","0.29","0.07","before 2004","Prepared and Preserved Fruit & Vegetables","excluding transport to processing plant"
"Apricot","Organic","dried","Pakistan","CP","EXW","1 kg","GBP","0.31","0.07","15/11/2007","Prepared and Preserved Fruit & Vegetables","excluding transport to processing plant"
"Araza","Organic","pulp","Costa Rica","SPO / HL","FOB","1 kg","USD","1.61","0.32","12/07/2006","Prepared and Preserved Fruit & Vegetables",""
"Argan Oil","Conventional","","Worldwide","SPO","EXW","1 litres","EUR","Commercial price","15% of the commercial price","14/10/2022","Oilseeds and Oleaginous fruit",""
"Argan Oil","Organic","","Worldwide","SPO","EXW","1 litres","EUR","Commercial price","15% of the commercial price","14/10/2022","Oilseeds and Oleaginous fruit",""
"Artichoke","Conventional","Fresh","Africa; Latin America and the Caribbean","HL","EXW"," ","","Commercial price","15% of the commercial price","05/12/2013","Vegetables",""
"Artichoke","Conventional","Fresh","Worldwide","SPO","EXW"," ","","Commercial price","15% of the commercial price","02/06/2013","Vegetables",""
"Artichoke","Organic","Fresh","Africa; Latin America and the Caribbean","HL","EXW"," ","","Commercial price","15% of the commercial price","05/12/2013","Vegetables",""
"Artichoke","Organic","Fresh","Worldwide","SPO","EXW"," ","","Commercial price","15% of the commercial price","02/06/2013","Vegetables",""
"Asparagus","Conventional","Fresh","Africa; Latin America and the Caribbean","HL","EXW"," ","","Commercial price","15% of the commercial price","05/12/2013","Vegetables",""
"Asparagus","Conventional","Fresh","Worldwide","SPO","EXW"," ","","Commercial price","15% of the commercial price","03/07/2013","Vegetables",""
"Asparagus","Organic","Fresh","Africa; Latin America and the Caribbean","HL","EXW"," ","","Commercial price","15% of the commercial price","05/12/2013","Vegetables",""
"Asparagus","Organic","Fresh","Worldwide","SPO","EXW"," ","","Commercial price","15% of the commercial price","03/07/2013","Vegetables",""
"Avocado","Conventional","for processing","Worldwide","SPO / HL","EXW","1 kg","USD","0.3","0.03","15/09/2010","Fresh Fruit","All varieties; "
"Avocado","Conventional","","Worldwide","SPO / HL","EXW","1 kg","USD","1.04","0.12","15/09/2010","Fresh Fruit","All varieties; "
"Avocado","Conventional","","Worldwide","SPO / HL","FOB","1 kg","USD","1.53","0.12","15/09/2010","Fresh Fruit","All varieties; "
"Avocado","Organic","for processing","Worldwide","SPO / HL","EXW","1 kg","USD","0.35","0.03","15/09/2010","Fresh Fruit","All varieties; "
"Avocado","Organic","","Worldwide","SPO / HL","EXW","1 kg","USD","1.16","0.12","15/09/2010","Fresh Fruit","All varieties; "
"Avocado","Organic","","Worldwide","SPO / HL","FOB","1 kg","USD","1.65","0.12","15/09/2010","Fresh Fruit","All varieties; "
"Baby Banana - coastal","Conventional","Fresh","Worldwide","SPO / HL","EXW","1 kg","USD","0.53","0.15","18/11/2011","Fresh Fruit","diploid; below altitude of 800 meters above sea level; "
"Baby Banana - coastal","Organic","Fresh","Worldwide","SPO / HL","EXW","1 kg","USD","0.7","0.15","18/11/2011","Fresh Fruit","diploid; below altitude of 800 meters above sea level; "
"Baby Banana - mountain","Conventional","Fresh","Worldwide","SPO / HL","EXW","1 kg","USD","1.65","0.15","18/11/2011","Fresh Fruit","diploid; above altitude of 800 meters above sea level; "
"Baby Banana - mountain","Organic","Fresh","Worldwide","SPO / HL","EXW","1 kg","USD","2.15","0.15","18/11/2011","Fresh Fruit","diploid; above altitude of 800 meters above sea level; "
"Baby corn","Conventional","Fresh","Africa; Latin America and the Caribbean","HL","EXW"," ","","Commercial price","15% of the commercial price","05/12/2013","Vegetables",""
"Baby corn","Conventional","Fresh","Worldwide","SPO","EXW"," ","","Commercial price","15% of the commercial price","02/06/2013","Vegetables",""
"Baby corn","Organic","Fresh","Africa; Latin America and the Caribbean","HL","EXW"," ","","Commercial price","15% of the commercial price","05/12/2013","Vegetables",""
"Baby corn","Organic","Fresh","Worldwide","SPO","EXW"," ","","Commercial price","15% of the commercial price","02/06/2013","Vegetables",""
"Banana","Conventional","for drying","Worldwide","SPO / HL","EXW","1 MT","USD","107.5","22.5","10/02/2010","Fresh Fruit",""
"Banana","Conventional","for processing","Worldwide","SPO / HL","EXW","1 MT","USD","107.5","22.5","12/02/2016","Fresh Fruit",""
"Banana","Conventional","Fresh","ACP countries without country specific prices","SPO / HL","EXW","18.14 kg","USD","8.45","1","From 01/01/2025 until 31/12/2025","Fresh Fruit",""
"Banana","Conventional","Fresh","ACP countries without country specific prices","SPO / HL","EXW","18.14 kg","USD","9.7","1","From 01/01/2026 until 31/12/2026","Fresh Fruit",""
"Banana","Conventional","Fresh","ACP countries without country specific prices","SPO / HL","FOB","18.14 kg","USD","11.9","1","From 01/01/2025 until 31/12/2025","Fresh Fruit",""
"Banana","Conventional","Fresh","ACP countries without country specific prices","SPO / HL","FOB","18.14 kg","USD","13.5","1","From 01/01/2026 until 31/12/2026","Fresh Fruit",""
"Banana","Conventional","Fresh","Cameroon","SPO / HL","EXW","18.14 kg","EUR","7.75","1 USD/18.14 Kg","From 01/01/2025 until 31/12/2025","Fresh Fruit",""
"Banana","Conventional","Fresh","Cameroon","SPO / HL","EXW","18.14 kg","EUR","8.55","1 USD/18.14 Kg","From 01/01/2026 until 31/12/2026","Fresh Fruit",""
"Banana","Conventional","Fresh","Cameroon","SPO / HL","FOB Douala","18.14 kg","EUR","10.5","1 USD/18.14 Kg","From 01/01/2025 until 31/12/2025","Fresh Fruit",""
"Banana","Conventional","Fresh","Cameroon","SPO / HL","FOB Douala","18.14 kg","EUR","11.1","1 USD/18.14 Kg","From 01/01/2026 until 31/12/2026","Fresh Fruit",""
"Banana","Conventional","Fresh","Colombia","SPO / HL","EXW","18.14 kg","USD","8.25","1","From 01/01/2025 until 31/12/2025","Fresh Fruit",""
"Banana","Conventional","Fresh","Colombia","SPO / HL","EXW","18.14 kg","USD","8.7","1","From 01/01/2026 until 31/12/2026","Fresh Fruit",""
"Banana","Conventional","Fresh","Colombia","SPO / HL","FOB S.Marta/Turbo","18.14 kg","USD","11.55","1","From 01/01/2025 until 31/12/2025","Fresh Fruit",""
"Banana","Conventional","Fresh","Colombia","SPO / HL","FOB S.Marta/Turbo","18.14 kg","USD","12.25","1","From 01/01/2026 until 31/12/2026","Fresh Fruit",""
"Banana","Conventional","Fresh","Dominican Republic","SPO / HL","EXW","18.14 kg","USD","8.15","1","From 01/01/2025 until 31/12/2025","Fresh Fruit",""
"Banana","Conventional","Fresh","Dominican Republic","SPO / HL","EXW","18.14 kg","USD","8.4","1","From 01/01/2026 until 31/12/2026","Fresh Fruit",""
"Banana","Conventional","Fresh","Dominican Republic","SPO / HL","FOB Caucedo","18.14 kg","USD","12.55","1","From 01/01/2025 until 31/12/2025","Fresh Fruit",""
"Banana","Conventional","Fresh","Dominican Republic","SPO / HL","FOB Caucedo","18.14 kg","USD","13.1","1","From 01/01/2026 until 31/12/2026","Fresh Fruit",""
"Banana","Conventional","Fresh","Dominican Republic","SPO / HL","FOB Manzanillo","18.14 kg","USD","12.6","1","From 01/01/2025 until 31/12/2025","Fresh Fruit",""
"Banana","Conventional","Fresh","Dominican Republic","SPO / HL","FOB Manzanillo","18.14 kg","USD","13.1","1","From 01/01/2026 until 31/12/2026","Fresh Fruit",""
"Banana","Conventional","Fresh","Ecuador","SPO / HL","EXW","18.14 kg","USD","7.25","1","From 01/01/2025 until 31/12/2025","Fresh Fruit",""
"Banana","Conventional","Fresh","Ecuador","SPO / HL","EXW","18.14 kg","USD","7.85","1","From 01/01/2026 until 31/12/2026","Fresh Fruit",""
"Banana","Conventional","Fresh","Ecuador","SPO / HL","FOB Bolivar","18.14 kg","USD","11.05","1","From 01/01/2025 until 31/12/2025","Fresh Fruit",""
"Banana","Conventional","Fresh","Ecuador","SPO / HL","FOB Bolivar","18.14 kg","USD","11.75","1","From 01/01/2026 until 31/12/2026","Fresh Fruit",""
"Banana","Conventional","Fresh","Ecuador","SPO / HL","FOB Guayaquil (arraving from Santa Elena)","18.14 kg","USD","11.13","1","From 01/01/2025 until 31/12/2025","Fresh Fruit",""
"Banana","Conventional","Fresh","Ecuador","SPO / HL","FOB Guayaquil (arraving from Santa Elena)","18.14 kg","USD","11.85","1","From 01/01/2026 until 31/12/2026","Fresh Fruit",""
"Banana","Conventional","Fresh","Ecuador","SPO / HL","FOB Guayaquil (arriving from Machala)","18.14 kg","USD","11.37","1","From 01/01/2025 until 31/12/2025","Fresh Fruit",""
"Banana","Conventional","Fresh","Ecuador","SPO / HL","FOB Guayaquil (arriving from Machala)","18.14 kg","USD","12.1","1","From 01/01/2026 until 31/12/2026","Fresh Fruit",""
"Banana","Conventional","Fresh","Ecuador","SPO / HL","FOB Posorja (arraving from Santa Elena)","18.14 kg","USD","11.13","1","From 01/01/2025 until 31/12/2025","Fresh Fruit",""
"Banana","Conventional","Fresh","Ecuador","SPO / HL","FOB Posorja (arraving from Santa Elena)","18.14 kg","USD","11.85","1","From 01/01/2026 until 31/12/2026","Fresh Fruit",""
"Banana","Conventional","Fresh","Ecuador","SPO / HL","FOB Posorja (arraving from Machala)","18.14 kg","USD","12.05","1","From 01/01/2026 until 31/12/2026","Fresh Fruit",""
"Banana","Conventional","Fresh","Ghana","SPO / HL","EXW","18.14 kg","EUR","8.1","1 USD/18.14 Kg","From 01/01/2025 until 31/12/2025","Fresh Fruit",""
"Banana","Conventional","Fresh","Ghana","SPO / HL","EXW","18.14 kg","EUR","8.85","1 USD/18.14 Kg","From 01/01/2026 until 31/12/2026","Fresh Fruit",""
"Banana","Conventional","Fresh","Ghana","SPO / HL","FOB Tema","18.14 kg","EUR","10.9","1 USD/18.14 Kg","From 01/01/2025 until 31/12/2025","Fresh Fruit",""
"Banana","Conventional","Fresh","Ghana","SPO / HL","FOB Tema","18.14 kg","EUR","11.5","1 USD/18.14 Kg","From 01/01/2026 until 31/12/2026","Fresh Fruit",""
"Banana","Conventional","Fresh","Ivory Coast","SPO / HL","EXW","18.14 kg","USD","10.1","1","From 01/01/2026 until 31/12/2026","Fresh Fruit",""
"Banana","Conventional","Fresh","Ivory Coast","SPO / HL","FOB Abidjan","18.14 kg","USD","13.65","1","From 01/01/2026 until 31/12/2026","Fresh Fruit",""
"Banana","Conventional","Fresh","Nicaragua","SPO / HL","EXW","18.14 kg","USD","7.25","1","From 01/01/2025 until 31/12/2025","Fresh Fruit",""
"Banana","Conventional","Fresh","Nicaragua","SPO / HL","EXW","18.14 kg","USD","7.7","1","From 01/01/2026 until 31/12/2026","Fresh Fruit",""
"Banana","Conventional","Fresh","Nicaragua","SPO / HL","FOB Corinto","18.14 kg","USD","10.85","1","From 01/01/2025 until 31/12/2025","Fresh Fruit",""
"Banana","Conventional","Fresh","Nicaragua","SPO / HL","FOB Corinto","18.14 kg","USD","11.05","1","From 01/01/2026 until 31/12/2026","Fresh Fruit",""
"Banana","Conventional","Fresh","Nicaragua","SPO / HL","Moin (CR)/ Cortez (Honduras)","18.14 kg","USD","12.22","1","From 01/01/2025 until 31/12/2025","Fresh Fruit",""
"Banana","Conventional","Fresh","Nicaragua","SPO / HL","Moin (CR)/ Cortez (Honduras)","18.14 kg","USD","12.2","1","From 01/01/2026 until 31/12/2026","Fresh Fruit",""
"Banana","Conventional","Fresh","Non-ACP countries without country specific prices","SPO / HL","EXW","18.14 kg","USD","7.65","1","From 01/01/2025 until 31/12/2025","Fresh Fruit",""
"Banana","Conventional","Fresh","Non-ACP countries without country specific prices","SPO / HL","EXW","18.14 kg","USD","8.15","1","From 01/01/2026 until 31/12/2026","Fresh Fruit",""
"Banana","Conventional","Fresh","Non-ACP countries without country specific prices","SPO / HL","FOB","18.14 kg","USD","11.2","1","From 01/01/2025 until 31/12/2025","Fresh Fruit",""
"Banana","Conventional","Fresh","Non-ACP countries without country specific prices","SPO / HL","FOB","18.14 kg","USD","12.05","1","From 01/01/2026 until 31/12/2026","Fresh Fruit",""
"Banana","Conventional","Fresh","Panama","SPO / HL","EXW","18.14 kg","USD","7.9","1","From 01/01/2025 until 31/12/2025","Fresh Fruit",""
"Banana","Conventional","Fresh","Panama","SPO / HL","EXW","18.14 kg","USD","8.25","1","From 01/01/2026 until 31/12/2026","Fresh Fruit",""
"Banana","Conventional","Fresh","Panama","SPO / HL","FOB Moin (C.Rica)","18.14 kg","USD","11.4","1","From 01/01/2025 until 31/12/2025","Fresh Fruit",""
"Banana","Conventional","Fresh","Panama","SPO / HL","FOB Moin (C.Rica)","18.14 kg","USD","11.85","1","From 01/01/2026 until 31/12/2026","Fresh Fruit",""
"Banana","Organic","for drying","Worldwide","SPO / HL","EXW","1 MT","USD","160","22.5","10/02/2010","Fresh Fruit",""
"Banana","Organic","for processing","Worldwide","SPO / HL","EXW","1 MT","USD","160","22.5","12/02/2016","Fresh Fruit",""
"Banana","Organic","Fresh","ACP countries without country specific prices","SPO / HL","EXW","18.14 kg","USD","11.2","1","From 01/01/2025 until 31/12/2025","Fresh Fruit",""
"Banana","Organic","Fresh","ACP countries without country specific prices","SPO / HL","EXW","18.14 kg","USD","12.25","1","From 01/01/2026 until 31/12/2026","Fresh Fruit",""
"Banana","Organic","Fresh","ACP countries without country specific prices","SPO / HL","FOB","18.14 kg","USD","14.95","1","From 01/01/2025 until 31/12/2025","Fresh Fruit",""
"Banana","Organic","Fresh","ACP countries without country specific prices","SPO / HL","FOB","18.14 kg","USD","16.35","1","From 01/01/2026 until 31/12/2026","Fresh Fruit",""
"Banana","Organic","Fresh","Colombia","SPO / HL","EXW","18.14 kg","USD","10.5","1","From 01/01/2025 until 31/12/2025","Fresh Fruit",""
"Banana","Organic","Fresh","Colombia","SPO / HL","EXW","18.14 kg","USD","10.75","1","From 01/01/2026 until 31/12/2026","Fresh Fruit",""
"Banana","Organic","Fresh","Colombia","SPO / HL","FOB S.Marta","18.14 kg","USD","13.9","1","From 01/01/2025 until 31/12/2025","Fresh Fruit",""
"Banana","Organic","Fresh","Colombia","SPO / HL","FOB S.Marta","18.14 kg","USD","14.65","1","From 01/01/2026 until 31/12/2026","Fresh Fruit",""
"Banana","Organic","Fresh","Dominican Republic","SPO / HL","EXW","18.14 kg","USD","10.6","1","From 01/01/2025 until 31/12/2025","Fresh Fruit",""
"Banana","Organic","Fresh","Dominican Republic","SPO / HL","EXW","18.14 kg","USD","10.9","1","From 01/01/2026 until 31/12/2026","Fresh Fruit",""
"Banana","Organic","Fresh","Dominican Republic","SPO / HL","FOB Caucedo","18.14 kg","USD","15","1","From 01/01/2025 until 31/12/2025","Fresh Fruit",""
"Banana","Organic","Fresh","Dominican Republic","SPO / HL","FOB Caucedo","18.14 kg","USD","15.7","1","From 01/01/2026 until 31/12/2026","Fresh Fruit",""
"Banana","Organic","Fresh","Dominican Republic","SPO / HL","FOB Manzanillo","18.14 kg","USD","15.05","1","From 01/01/2025 until 31/12/2025","Fresh Fruit",""
"Banana","Organic","Fresh","Dominican Republic","SPO / HL","FOB Manzanillo","18.14 kg","USD","15.7","1","From 01/01/2026 until 31/12/2026","Fresh Fruit",""
"Banana","Organic","Fresh","Ecuador","SPO / HL","EXW","18.14 kg","USD","9.95","1","From 01/01/2025 until 31/12/2025","Fresh Fruit",""
"Banana","Organic","Fresh","Ecuador","SPO / HL","EXW","18.14 kg","USD","10.65","1","From 01/01/2026 until 31/12/2026","Fresh Fruit",""
"Banana","Organic","Fresh","Ecuador","SPO / HL","FOB Bolivar","18.14 kg","USD","13.85","1","From 01/01/2025 until 31/12/2025","Fresh Fruit",""
"Banana","Organic","Fresh","Ecuador","SPO / HL","FOB Bolivar","18.14 kg","USD","14.65","1","From 01/01/2026 until 31/12/2026","Fresh Fruit",""
"Banana","Organic","Fresh","Ecuador","SPO / HL","FOB Guayaquil (arraving from Santa Elena)","18.14 kg","USD","13.93","1","From 01/01/2025 until 31/12/2025","Fresh Fruit",""
"Banana","Organic","Fresh","Ecuador","SPO / HL","FOB Guayaquil (arraving from Santa Elena)","18.14 kg","USD","14.75","1","From 01/01/2026 until 31/12/2026","Fresh Fruit",""
"Banana","Organic","Fresh","Ecuador","SPO / HL","FOB Guayaquil (arriving from Machala)","18.14 kg","USD","14.17","1","From 01/01/2025 until 31/12/2025","Fresh Fruit",""
"Banana","Organic","Fresh","Ecuador","SPO / HL","FOB Guayaquil (arriving from Machala)","18.14 kg","USD","15","1","From 01/01/2026 until 31/12/2026","Fresh Fruit",""
"Banana","Organic","Fresh","Ecuador","SPO / HL","FOB Posorja (arraving from Santa Elena)","18.14 kg","USD","13.93","1","From 01/01/2025 until 31/12/2025","Fresh Fruit",""
"Banana","Organic","Fresh","Ecuador","SPO / HL","FOB Posorja (arraving from Santa Elena)","18.14 kg","USD","14.75","1","From 01/01/2026 until 31/12/2026","Fresh Fruit",""
"Banana","Organic","Fresh","Ecuador","SPO / HL","FOB Posorja (arraving from Machala)","18.14 kg","USD","14.95","1","From 01/01/2026 until 31/12/2026","Fresh Fruit",""
"Banana","Organic","Fresh","Ghana","SPO / HL","EXW","18.14 kg","EUR","10.9","1 USD/18.14 Kg","From 01/01/2025 until 31/12/2025","Fresh Fruit",""
"Banana","Organic","Fresh","Ghana","SPO / HL","EXW","18.14 kg","EUR","11.65","1 USD/18.14 Kg","From 01/01/2026 until 31/12/2026","Fresh Fruit",""
"Banana","Organic","Fresh","Ghana","SPO / HL","FOB Tema","18.14 kg","EUR","13.7","1 USD/18.14 Kg","From 01/01/2025 until 31/12/2025","Fresh Fruit",""
"Banana","Organic","Fresh","Ghana","SPO / HL","FOB Tema","18.14 kg","EUR","14.35","1 USD/18.14 Kg","From 01/01/2026 until 31/12/2026","Fresh Fruit",""
"Banana","Organic","Fresh","Ivory Coast","SPO / HL","EXW","18.14 kg","USD","12.2","1","From 01/01/2026 until 31/12/2026","Fresh Fruit",""
"Banana","Organic","Fresh","Ivory Coast","SPO / HL","FOB Abidjan","18.14 kg","USD","15.85","1","From 01/01/2026 until 31/12/2026","Fresh Fruit",""
"Banana","Organic","Fresh","Non-ACP countries without country specific prices","SPO / HL","EXW","18.14 kg","USD","10.1","1","From 01/01/2025 until 31/12/2025","Fresh Fruit",""
"Banana","Organic","Fresh","Non-ACP countries without country specific prices","SPO / HL","EXW","18.14 kg","USD","10.5","1","From 01/01/2026 until 31/12/2026","Fresh Fruit",""
"Banana","Organic","Fresh","Non-ACP countries without country specific prices","SPO / HL","FOB","18.14 kg","USD","13.9","1","From 01/01/2025 until 31/12/2025","Fresh Fruit",""
"Banana","Organic","Fresh","Non-ACP countries without country specific prices","SPO / HL","FOB","18.14 kg","USD","14.65","1","From 01/01/2026 until 31/12/2026","Fresh Fruit",""
"Banana","Organic","Fresh","Peru","SPO / HL","EXW","18.14 kg","USD","9.8","1","From 01/01/2025 until 31/12/2025","Fresh Fruit",""
"Banana","Organic","Fresh","Peru","SPO / HL","EXW","18.14 kg","USD","10.15","1","From 01/01/2026 until 31/12/2026","Fresh Fruit",""
"Banana","Organic","Fresh","Peru","SPO / HL","FOB Paita","18.14 kg","USD","13.95","1","From 01/01/2025 until 31/12/2025","Fresh Fruit",""
"Banana","Organic","Fresh","Peru","SPO / HL","FOB Paita","18.14 kg","USD","14.55","1","From 01/01/2026 until 31/12/2026","Fresh Fruit",""
"Banana","Organic","dried","Worldwide","SPO / HL","FOB","1 kg","USD","Commercial price","15% of the commercial price","14/10/2022","Prepared and Preserved Fruit & Vegetables",""
"Baobab","Conventional","for processing","Africa","SPO","EXW","1 kg","USD","Commercial price","0.05","15/07/2010","Fresh Fruit",""
"Baobab","Organic","for processing","Africa","SPO","EXW","1 kg","USD","Commercial price","0.05","15/07/2010","Fresh Fruit",""
"Beet","Conventional","Fresh","Africa; Latin America and the Caribbean","HL","EXW"," ","","Commercial price","15% of the commercial price","05/12/2013","Vegetables",""
"Beet","Conventional","Fresh","Worldwide","SPO","EXW"," ","","Commercial price","15% of the commercial price","03/07/2013","Vegetables",""
"Beet","Organic","Fresh","Africa; Latin America and the Caribbean","HL","EXW"," ","","Commercial price","15% of the commercial price","05/12/2013","Vegetables",""
"Beet","Organic","Fresh","Worldwide","SPO","EXW"," ","","Commercial price","15% of the commercial price","03/07/2013","Vegetables",""
"Blackcurrant","Conventional","for processing","Worldwide","SPO / HL","EXW"," ","","Commercial price","15% of the commercial price","04/09/2013","Fresh Fruit",""
"Blackcurrant","Conventional","fresh","Worldwide","SPO / HL","EXW"," ","","Commercial price","15% of the commercial price","04/09/2013","Fresh Fruit",""
"Blackcurrant","Organic","for processing","Worldwide","SPO / HL","EXW"," ","","Commercial price","15% of the commercial price","04/09/2013","Fresh Fruit",""
"Blackcurrant","Organic","fresh","Worldwide","SPO / HL","EXW"," ","","Commercial price","15% of the commercial price","04/09/2013","Fresh Fruit",""
"Blueberry","Conventional","for drying","Worldwide","SPO","EXW/FOB","1 kg","USD","Commercial price","0.5","15/07/2010","Fresh Fruit",""
"Blueberry","Conventional","for processing","Worldwide","SPO / HL","EXW/FOB","1 kg","USD","Commercial price","0.5","15/07/2010","Fresh Fruit",""
"Blueberry","Conventional","","Worldwide","SPO / HL","EXW/FOB","1 kg","USD","Commercial price","0.75","15/07/2010","Fresh Fruit",""
"Blueberry","Organic","for drying","Worldwide","SPO","EXW/FOB","1 kg","USD","Commercial price","0.5","15/07/2010","Fresh Fruit",""
"Blueberry","Organic","for processing","Worldwide","SPO / HL","EXW/FOB","1 kg","USD","Commercial price","0.5","15/07/2010","Fresh Fruit",""
"Blueberry","Organic","","Worldwide","SPO / HL","EXW/FOB","1 kg","USD","Commercial price","0.75","15/07/2010","Fresh Fruit",""
"Brazil Nut","Conventional","broken (half kernel); processed: outer pod and individual shells removed","Worldwide","SPO","FOB","1 pound","USD","Commercial price","15% of the commercial price","06/05/2024","Nuts",""
